location,sample date,Oxygen saturation,Dissolved silicates,Benzo(k)fluoranthene,Hexachlorobenzene,PAHs,Benzo(b)fluoranthene,beta-Hexaxchlorocyclohexane,Chlorodinine,Methoxychlor,Carbonates,Chemical Oxygen Demand (Mn),Anthracene,Boron,Cyanides,Chromium,Metolachlor,Endosulfan (alpha),Inorganic nitrogen,Pyrene,Heptachloroepoxide,Biochemical Oxygen,Berilium,"p,p-DDE",Sodium,AOX,Total organic carbon,Nitrates,PCB 118,"Benzo(g,h,i)perylene",Acenaphthylene,Total dissolved salts,Orthophosphate-phosphorus,Calcium,Macrozoobenthos,Benzo(a)anthracene,Total extractable matter,Nickel,Alachlor,Pentachlorobenzene,Dieldrin,Methylosmoline,Barium,Chemical Oxygen Demand (Cr),Benzo(a)pyrene,Phenanthrene,PCB 180,Anionic active surfactants,Chrysene,Mercury,gamma-Hexachlorocyclohexane,Manganese,PCB 101,Dissolved organic carbon,Cadmium,Trifluralin,Endrin,Sulfides,Nitrites,Sulphates,Selenium,Simazine,Total phosphorus,Endosulfan (beta),"1,2,4-Trichlorobenzene",Arsenic,Iron,alpha-Hexachlorocyclohexane,Silica (SiO2),Total dissolved phosphorus,Fecal coliforms,PCB 153,Fluorene,PCB 138,Heptachlor,Copper,Tetrachloromethane,PCB 52,Magnesium,Bicarbonates,Total hardness,Zinc,"p,p-DDT",Dissolved oxygen,"Indeno(1,2,3-c,d)pyrene",Fluoranthene,Fecal streptococci ,Ammonium,Aldrin,Isodrin,"p,p-DDD",Chlorides,Acenaphthene,Atrazine,AGOC-3A,PCB 28,Potassium,"1,2,3-Trichlorobenzene",Lead,Cesium,Total nitrogen,Aluminium,Organic nitrogen,Water temperature,Petroleum hydrocarbons,Naphthalene,Total coliforms
Busarakhan,09-Sep-15,,,,,,,,,,,4.98,,,,,,,,,,1.63,,,,,,1.55,,,,387,0.045,53.8,,,,,,,,,,27.21,,,,,,,0,0,,,,,,,0.032,,,,0.052,,,,1.8824,,,0.045,,,,,,,,,16.8,,207,,0,7.68,,,,0.054,,,,31.96,,0,,,,,,,1.783,,,19,,,
Busarakhan,22-Sep-15,,,,,,,,,,,7.44,,,,,,,,,,1.64,,,,,,1.18,,,,465,0.061,57.8,,,,,,,,,,28.12,,,,0,,,0,,,,,,,,0.036,62.02,,,0.08,,,,,,,0.076,,,,,,,,,15.6,,209,,0,8.055,,,,0.117,,,,34.27,,0,,,,,,,1.385,,,17,0.5846,,
Busarakhan,24-Sep-15,,,,,,,,0.296,,,,,,,,,,,,,,,,,,,0.337,,,,,0.066,,,,,,,,,0.326,,,,,,,,,,,,,,,,,0.021,,,,0.114,,,,,,,,,,,,,,,,,,,,,,,,,0.053,,,,,,,0.302,,,,,,1.25,,,,,,
Busarakhan,08-Oct-15,,,,,,,,,,,4.29,,,,,,,,,,2.3,,,,,,1.84,,,,703,0.069,66.8,,,,,,,,,,27.15,,,,,,,0,,,,,,,,0.022,,,,0.113,,,,0.12,,,0.074,,,,,,,,,17,,,,,9.61,,,,0.493,,,,153.56,,0,,,,,,,2.36,,,11,,,
Busarakhan,15-Oct-15,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,1.68,,,,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,0.082,,,,0.1,,,0.065,,,,,,,,,,,,,,9.21,,,,0.147,,,,,,,,,,,,,1.95,,,13.5,,,
Busarakhan,30-Oct-15,,,,,,,,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268,,,,,,,,,,,,
Busarakhan,11-Nov-15,,,,,,,,,,,5.33,,,,,,,,,,3.5,,,24,,,1.59,,,,517,0.012,57.8,,,,,,,,,,31.49,,,,,,,0,,,,,,,,0.012,,,,0.046,,,,,,,0.029,,,,,,,,,21.4,,233,,,10.71,,,,0.082,,,,43.42,,0,,,2.4,,,,1.73,,,12.5,,,
Busarakhan,18-Nov-15,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,1.38,,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,0.075,,,,,,,0.058,,,,,,,,,,,,,,10.24,,,,0.118,,,,,,,,,,,,,1.519,,,9.1,,,
Busarakhan,28-Nov-15,,,,,,,,,,,,,,,,,,,,,3.31,,,,,,1.41,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,0.049,,,,,,,0.016,,,,,,,,,,,,,,9.96,,,,0.087,,,,,,,,,,,,,1.54,,,4.8,,,
Busarakhan,09-Dec-15,,,,,,,,,,,3.69,,,,,,,,,,1.54,,,,,,1.86,,,,555,0.056,63.4,,,,,,,,,,26.61,,,,,,,0,,,,,,,,0.019,,,,0.058,,,,,,,0.056,,,,,,,,,17,,229,,0,11.97,,,,0.098,,,,43.42,,0,,,,,,,1.98,,,2,,,
Busarakhan,19-Dec-15,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,1.756,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,0.049,,,,,,,0.028,,,,,,,,,,,,,,10.66,,,,0.105,,,,,,,,,,,,,1.91,,,2.8,,,
Busarakhan,14-Jan-16,,,,,,,,,,,4.26,,,,,,,,,,1.56,,,,,,2.14,,,,1019,0.012,37.6,,,,,,,,,,25.08,,,,0,,,0,,,,,,,,0.012,115.33,,,0.086,,,,,,,,,,,,,,,,66.2,,368.74,,0,10.12,,,,0.085,,,,169.19,,0,,,,,,,2.45,,,2,,,
Busarakhan,24-Jan-16,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,,,,,,,,
Busarakhan,06-Feb-16,,,,,,,,,,,3.63,,,,,,,,,,1.1,,,,,,1.83,,,,600,0.067,69.4,,,,2.0447,,,,,,25.5,,,,0,,0.062,0,,,,0.8146,,,,0.019,128.4,,,0.083,,,,,,,0.073,,,,,,,,,25.2,,278.166,,0,11.8,,,,0.458,,,,50.89,,0,,,,,11.73,,2.39,,,3,,,
Busarakhan,11-Feb-16,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,1.507,,,,546,0.059,63.4,,,,1.308,,,,,,25.45,,,,,,0.047,,,,,0.4318,,,,0.01,,,,,,,,,,,0.059,,,,,,,,,26.6,,268.142,,,11.42,,,,0.104,,,,53.99,,,,,,,12.85,,2.42,,,5.6,,,
Busarakhan,14-Feb-16,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,
Busarakhan,26-Feb-16,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,1.452,,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,0.164,,,,,,,0.067,,,,,,,,,,,,,,11.56,,,,0.06,,,,,,,,,,,,,2.41,,,2.1,,,
Busarakhan,11-Mar-16,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,1.88,,,,735,0.02,61.4,,,,2.318,,,,,,25.5,,,,,,,0,,,,1.158,,,,0.026,,,,0.043,,,,,,,0.04,,,,,,,,,41.2,,323.274,,0,11.48,,,,0.016,,,,78.75,,0,,,,,6.462,,2.83,,,6,,,
Busarakhan,20-Mar-16,,,,,,,,0.061,,,,,,,,,,,,,1.49,,,,,,1.939,,,,,0.017,,,,,,,,,0.016,,,,,,,,,,,,,,,,,0.024,,,,0.022,,,,,,,,,,,,,,,,,,,,,8.81,,,,0.136,,,,,,,0.067,,,,,,2.46,,,17,,,
Busarakhan,08-Apr-16,,,,,,,,,,,4,,,,,,,,,,4.3,,,,,,1.873,,,,865,0.049,46,,,,2.209,,,,,,31.74,,,,0,,0.071,0,,,,0.9815,,,,0.014,121.68,,,0.093,,,1.8,,,,0.052,,,,,,,,,53.6,,336.52,,0,9.43,,,,0.049,,,,133.43,,0,,,,,9.172,,2.14,,,12.5,0.4334,,
Busarakhan,18-Apr-16,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.723,,,,,,,,,,,,
Busarakhan,24-Apr-16,,,,,,,,,,,,,,,,,,,,,3.87,,,,,,1.701,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.111,,,,,,,0.085,,,,,,,,,,,,,,7.37,,,,0.091,,,,,,,,,,,,,1.94,,,17.3,,,
Busarakhan,14-May-16,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,0.814,,,,535,0.043,65.4,,,,4.823,,,,,,29.42,,,,,,0,0,,,,0.2692,,,,0.044,,,,0.067,,,,,,,0.05,,,,,,,,,22.2,,254.896,,0,8.64,,,,0.092,,,,42.64,,0,,,,,6.488,,1.54,,,17.2,,,
Busarakhan,22-May-16,,,,,,,,0.022,,,,,,,,,,,,,1.3,,,,,,1.387,,,,,0.04,,,,,,,,,0.045,,,,,,,,,,,,,,,,,0.067,,,,0.113,,,,,,,0.049,,,,,,,,,,,,,,8.05,,,,0.187,,,,,,,0.069,,,,,,2.09,,,19,,,
Busarakhan,26-May-16,,,,,,,,,,,,,,,,,,,,,3.55,,,,,,1.267,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,0.059,,,,,,,0.05,,,,,,,,,,,,,,7.31,,,,0.085,,,,,,,,,,,,,1.69,,,22,,,
Busarakhan,13-Jun-16,,,,,,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.813,,,,,,,,,,,,
Busarakhan,16-Jun-16,,,,,,,,,,,10.76,,,,,,,,,,2.4,,,,,,0.606,,,,422,0.0503,57.8,,,,2.196,,,,,,29.52,,,,,,0.035,0,,,,0,,,,0.017,,,,0.121,,,,,,,0.078,,,,,,,,,17.8,,216.948,,0,8.33,,,,0.112,,,,34.72,,0,,,,,1.973,,1.157,,,22.6,,,
Busarakhan,26-Jun-16,,,,,,,,,,,,,,,,,,,,,4.13,,,,,,0.609,,,,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,,,0.07,,,,,,,0.043,,,,,,,,,,,,,,3.93,,,,0.163,,,,,,,,,,,,,1.59,,,23.4,,,
Busarakhan,14-Jul-16,,,,,,,,,,,28.16,,,,,,,,,,1.33,,,,,,1.17,,,,372,0.025,55.8,,,,12.8,,,,,,33.45,,,,0,,0.03,0,,,,0.4004,,,,0.023,,,,0.114,,,,,,,0.098,,,,,,,,,15,,201.912,,0,7.84,,,,0.091,,,,34.89,,0,,,,,6.274,,1.44,,,24.5,0.2528,,
Busarakhan,20-Jul-16,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,0.921,,,,388,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,,,0.227,,,,,,,0.183,,,,,,,,,,,,,,7.01,,,,0.127,,,,,,,,,,,,,1.538,,,23.8,,,
Busarakhan,22-Jul-16,,,,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,,,,,,,,,,,,
Busarakhan,24-Jul-16,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,1.541,,,,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.243,,,,,,,0.197,,,,,,,,,,,,,,6.85,,,,0.062,,,,,,,,,,,,,1.92,,,26.2,,,
Busarakhan,11-Aug-16,,,,,,,,,,,11.29,,,,,,,,,,2.93,,,,,,1.491,,,,363,0.103,12.06,,,,6.181,,,,,,31.89,,,,,,0,0,,,,0,,,,0.012,,,,0.179,,,,,,,0.145,,,,,,,,,45,,215.874,,0,7.04,,,,0.045,,,,25.79,,0,,,,,1.973,,2.22,,,26.2,,,
Busarakhan,19-Aug-16,,,,,,,,,,,,,,,,,,,,,4.18,,,,,,0.59,,,,,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,,0.179,,,,,,,0.17,,,,,,,,,,,,,,3.18,,,,0.045,,,,,,,,,,,,,1.11,,,22,,,
Busarakhan,28-Aug-16,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,,
Busarakhan,09-Sep-16,,,,,,,,,,,4.66,,,,,,,,,,1.5,,,,,,0.995,,,,354,0.035,59.4,,,,7.158,,,,,,29.52,,,,,,0,0,,,,0.2716,,,,0.008,72,,,0.058,,,,,,,0.049,,,,,,,,,11.6,,196.9,,0,7.87,,,,0.061,,,,31.13,,0,,,,,1.973,,1.18,,,24.5,,,
Busarakhan,17-Sep-16,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,1.276,,,,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,0.09,,,,,,,0.078,,,,,,,,,,,,,,8.27,,,,0.044,,,,,,,,,,,,,1.66,,,21,,,
Busarakhan,24-Sep-16,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,0.894,,,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.079,,,,,,,0.048,,,,,,,,,,,,,,7.5,,,,0.055,,,,,,,,,,,,,1.124,,,17.1,,,
Busarakhan,30-Sep-16,,,,,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,
Busarakhan,15-Oct-16,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,0.629,,,,470,0.04,57.8,,,,7.97,,,,,,38.88,,,,0,,0,0,,,,0.59,,,,0.021,96.6,,,0.08,,,,,,,0.06,,,,,,,,,21,,220.886,,0,8.41,,,,0.055,,,,34.55,,0,,,,,7.37,,1.36,,,15.4,0,,
Busarakhan,27-Oct-16,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,0.91,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.06,,,,,,,0.06,,,,,,,,,,,,,,7.25,,,,0.055,,,,,,,,,,,,,1.212,,,11.5,,,
Busarakhan,29-Oct-16,,,,,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,
Busarakhan,12-Nov-16,,,,,,,,,,,5.82,,,,,,,,,,2.84,,,,,,0.468,,,,488,0.019,42,,,,8.098,,,,,,30.87,,,,,,0.016,0,,,,0.4716,,,,0.015,,,,0.058,,,,,,,0.048,,,,,,,,,32.6,,239.86,,0,7.04,,,,0.038,,,,36.6,,0,,,,,4.4755,,0.981,,,9,,,
Busarakhan,25-Nov-16,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,1.041,,,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,0.087,,,,,,,0.073,,,,,,,,,,,,,,10.94,,,,0.063,,,,,,,,,,,,,1.54,,,4,,,
Busarakhan,27-Nov-16,,,,,,,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,
Busarakhan,08-Dec-16,,,,,,,,,,,3.62,,,,,,,,,,0.8,,,,,,1.649,,,,533,0.063,57.8,,,,5.665,,,,,,27.21,,,,,,0,0,,,,1.006,,,,0.018,,,,0.072,,,,,,,0.069,,,,,,,,,25.6,,249.884,,0,10.61,,,,0.255,,,,38.14,,0,,,,,1.973,,2.13,,,2,,,
Busarakhan,09-Dec-16,,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,,,,,,,,,,,
Busarakhan,17-Dec-16,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,1.04,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,,,0.055,,,,,,,0.051,,,,,,,,,,,,,,10.34,,,,0.153,,,,,,,,,,,,,1.26,,,3,,,
Chai,31-Jan-98,,,,,,,,,,,9.7,,,,0,,,,,,2.9,,,25.8,0,,1.37,,,,,0.04,56.9,0,,,0,,,,,,10,,,,,,0,,0,,,0,,,,0.03,59.2,,,0.08,,,0,0.07,,,,0,,,,,0,,,15.2,,,0,,8,,,,0.41,,,,38.3,,0,,,4.7,,0,0,,,,2,,,0
Chai,20-Feb-98,,,,,,,,,,,9.4,,,,0,,,,,,2.1,,,20,0,,1.71,,,,,0.04,62.87,0,,,0,,,,,,8.9,,,,,,0,,0,,,0,,,,0.02,61.3,,,0.12,,,0,0.11,,,,0,,,,,0,,,24.42,,,0,,8.84,,,,0.32,,,,41.31,,0,,,4,,0,0,,,,4,,,0
Chai,19-Mar-98,,,,,,,,,,,10.07,,,,0,,,,,,2.3,,,22,0,,1.68,,,,,0.04,52.91,0,,,0,,,,,,9.2,,,,,,0,,0,,,0,,,,0.01,56.4,,,0.13,,,0,0.11,,,,0,,,,,0,,,19.86,,,0,,8.31,,,,0.63,,,,39.8,,0,,,3.9,,0,0,,,,4,,,0
Chai,17-Apr-98,,,,,,,,,,,4.2,,,,9,,,,,,2.2,,,12.7,0,,2.23,,,,,0.05,53,1.81,,,9,,,,,,14.7,,,,,,0,0,0.06,,,0.49,,,,0.06,57.2,,,0.08,,,0,0.73,,,,0.02,,,,,64,,,13.8,,,15,0.01,7.3,,,,0.16,,,,22.7,,0,,,2.7,,55,0,,,,21,,,0.16
Chai,20-May-98,,,,,,,,,,,2.5,,,,0,,,,,,4,,,25,0,,1.6,,,,,0.04,63.12,2.16,,,42,,,,,,10.2,,,,,,0,,0,,,0,,,,0.02,70.9,,,0.1,,,0,0.16,,,,0,,,,,0,,,23.48,,,0,0,6.12,,,,0.31,,,,41.8,,0,,,4.1,,0,0,,,,22,,,0
Chai,28-Jun-98,,,,,,,,,,,4.3,,,,15,,,,,,2.8,,,13.5,0,,1.02,,,,,0.06,57,0,,,41,,,,,,11.3,,,,,,0,0.004,0.04,,,0.45,,,,0.06,61,,,0.12,,,0,0.42,,,,0.0023,,,,,10,,,12,,,29,,5.8,,,,0.21,,,,24.1,,0,,,3.93,,1,0,,,,24,,,0.0023
Chai,23-Jul-98,,,,,,,,,,,3.45,,,,0,,,,,,1.8,,,16.5,0,,1.28,,,,,0.08,60.1,0,,,0,,,,,,10.3,,,,,,0,,0,,,0,,,,0.01,66.72,,,0.1,,,0,0.09,,,,0,,,,,0,,,20.6,,,0,,7.8,,,,0.85,,,,33.2,,0,,,4.3,,0,0,,,,26.5,,,0
Chai,15-Aug-98,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.3,,,0.9,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,35.75,,,,,,,,,,,,,,,,,32.89,,,,,,,,
Chai,23-Aug-98,,,,,,,,,,,3.5,,,,10,,,,,,3,,,15,0,,1.26,,,,,0.07,51,1.94,,,32,,,,,,9.9,,,,,,0,,0.03,,,0.11,,,,0.07,37,,,0.12,,,0,0.44,,,,0.0022,,,,,21,,,12.6,,,345,,6.1,,,,0.23,,,,30,,0,,,2.9,,7,0,,,,23,,,0.0064
Chai,27-Sep-98,,,,,,,,,,,3.75,,,,0,,,,,,3.4,,,23.7,0,,1.83,,,,,0.07,48.12,2.08,,,0,,,,,,9.72,,,,,,0,,0,,,0,,,,0.05,64.36,,,0.12,,,0,0.06,,,,0,,,,,0,,,17.02,,,0,,7.34,,,,0.19,,,,36.9,,0,,,3.9,,0,0,,,,17,,,0
Chai,30-Oct-98,,,,,,,,,,,4.2,,,,8,,,,,,3.1,,,14.5,0,,1.65,,,,,0.08,59,1.93,,,0,,,,,,11.5,,,,,,0,,0.08,,,0.59,,,,0.04,33,,,0.13,,,0,0,,,,0.0032,,,,,33,,,15.6,,,104,,8.5,,,,0.39,,,,26.2,,0,,,3.5,,53,0,,,,13.2,,,0.35
Chai,26-Nov-98,,,,,,,,,,,7.73,,,,30,,,,,,2.7,,,16.9,0,,1.6,,,,,0.08,58.36,1.93,,,0,,,,,,18,,,,,,0,,0.05,,,0.37,,,,0.02,57,,,0.13,,,0,0,,,,0.002,,,,,66,,,19,,,16,,10.03,,,,0.2,,,,28.4,,0,,,1.8,,15,0,,,,10.8,,,0.0045
Chai,18-Dec-98,,,,,,,,,,,3.1,,,,5,,,,,,3.1,,,16,0,,1.59,,,,,0.07,59,0,,,0,,,,,,0,,,,,,0,,0.08,,,1.46,,,,0.04,33,,,0.12,,,0,0,,,,0.00061,,,,,38,,,15.6,,,13.6,,0,,,,0.27,,,,26.9,,0,,,4,,2,0,,,,0,,,0.0014
Chai,30-Jan-99,,,,,,,,,,,6.99,,,,19,,,,,,3.56,,,19.8,,,1.5,,,,,0.11,66.14,2.06,,5,,,,,,,18,,,,0,,,0.02,0.05,,,1.82,,,,0.03,60.1,,,0.11,,,,0.34,,,,0.11,,,,,38,,,28.21,192.76,,27,0.04,11,,,0.03,0.56,,,,35.5,,,,,2,,38,,,,,4.3,,,0.92
Chai,18-Feb-99,,,,,,,,,,,6.15,,,,13,,,,,,2.89,,,19.8,,,1.5,,,,,0.1,70.03,2,,10,,,,,,,16,,,,0,,,0.01,0.02,,,1,,,,0.01,38.2,,,0.11,,,,0.49,,,,0.0078,,,,,22,,,15.07,192.15,,28,0.06,11.7,,,0.07,0.44,,,,35.5,,,,,2.2,,12,,,,,5.9,,,0.04
Chai,17-Mar-99,,,,,,,,,,,6.63,,,,2.5,,,,,,2.27,,,19.8,,,1.8,,,,,0.12,66.14,1.8,,,,,,,,,10,,,,0.04,,,0.02,0.04,,,1,,,,0.01,45.42,,,0.12,,,,0.71,,,,0.01,,,,,20,,,21.15,186.05,,35,0.19,11.4,,,0.0045,0.09,,,,35.5,,,,,2,,7,,,,,7.8,,,0.07
Chai,22-Apr-99,,,,,,,,,,,3.7,,,,6,,,,,,2.1,,,15.9,,,3.12,,,,,0.05,58,2.12,,,,,,,,,,,,,,,,0.02,0.11,,,0,,,,0.07,38,,,0.11,,,,0.19,,,,0.01,,,,,20,,,12,,,54,0,8.9,,,0.0078,0.16,,,,40.4,,,,,3,,37,,,,,11.5,,,0.0045
Chai,20-May-99,,,,,,,,,,,6.1,,,,8,,,,,,2.8,,,14.2,,,2.37,,,,,0.06,52,1.97,,,,,,,,,16,,,,,,,0.01,0.03,,,0.28,,,,0.03,40.4,,,0.08,,,,0.52,,,,0.47,,,,,22,,,19.4,,,100,0,8.7,,,,0.16,,,,21.3,,,,,3.1,,9,,,,,19.8,,,9.2
Chai,19-Jun-99,,,,,,,,,,,3.6,,,,5,,,,,,3.4,,,13.4,,,0.91,,,,,0.05,50,2.08,,,,,,,,,,,,,,,,0.01,0.05,,,1.43,,,,0.03,33.5,,,0.11,,,,1.02,,,,0.03,,,,,17,,,8.4,,,10,0.01,6.1,,,,0.15,,,,26.2,,,,,2.6,,20,,,,,26,,,0.09
Chai,15-Jul-99,,,,,,,,,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,1910,,,0.12,,,,,,,,,,,,,,,,,,,,,33.1,,,,,,39,,,,,,,,,,,,,,,,,42.83,,,,,,,,
Chai,22-Jul-99,,,,,,,,,,,6.9,,,,9,,,,,,4,,,14.4,,,1.54,,,,,0.06,49.5,2.1,,,,,,,,,18,,,,,,,0.01,0.04,,,0.83,,,,0.06,30.1,,,0.08,,,,0.29,,,,,,,,,9,,,17.5,,,40,0.04,6.6,,,,0.46,,,,28.9,,,,,3.5,,26,,,,,20.4,,,
Chai,15-Aug-99,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,274,,,0.72,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,48.2,,,,,,,,,,,,,,,,,38.72,,,,,,,,
Chai,28-Aug-99,,,,,,,,,,,3.4,,,,7,,,,,,3.5,,,12.1,,,0.9,,,,,0.06,55,2.11,,,,,,,,,14.5,,,,,,,0.01,0.02,,,0.95,,,,0.08,36.4,,,0.1,,,,0.22,,,,,,,,,11,,,8.4,,,9,0.19,6,,,,0.21,,,,30,,,,,3.3,,26,,,,,24,,,
Chai,16-Sep-99,,,,,,,,,,,7,,,,7,,,,,,4.3,,,16.2,,,1.38,,,,,0.07,59.5,2.14,,,,,,,,,19,,,,,,,0.09,0.07,,,1.22,,,,0.02,49.5,,,0.1,,,,0.45,,,,,,,,,17,,,19.2,,,28,0,7.5,,,,0.34,,,,28.9,,,,,3.2,,33,,,,,18,,,
Chai,21-Oct-99,,,,,,,,,,,4.3,,,,12,,,,,,3.6,,,14.1,,,1.52,,,,,0.04,54,2.07,,,,,,,,,13.9,,,,,,,0.08,0.05,,,1.28,,,,0.04,44,,,0.06,,,,0.55,,,,0.02,,,,,21,,,19.2,,,22,0.24,8.4,,,0.03,0.2,,,,42.5,,,,,3.6,,20,,,,,13,,,0.12
Chai,18-Nov-99,,,,,,,,,,,7.7,,,,7,,,,,,4.8,,,20.4,,,1.66,,,,,0.08,61,2.07,,,,,,,,,20,,,,,,,0.02,0.06,,,5.99,,,,0.02,57.3,,,0.1,,,,0.42,,,,1.1,,,,,37,,,18.7,,,17,0.16,9.4,,,0.31,0.84,,,,35.5,,,,,3.8,,36,,,,,7.6,,,16
Chai,09-Dec-99,,,,,,,,,,,6.3,,,,6,,,,,,3.4,,,16.8,,,1.76,,,,,0.05,58.9,2.26,,,,,,,,,22,,,,,,,0.2,0.12,,,5.43,,,,0.03,46.8,,,0.07,,,,0.99,,,,2.8,,,,,26,,,23.8,,,30,0.24,10.5,,,0.35,0.16,,,,28.4,,,,,2,,34,,,,,5.2,,,9.2
Chai,14-Jan-00,,,,,,,,,,,6.9,,,,24.29,,,,,,4.5,,,26.2,,,1.31,,,,,0.01,55.4,2.18,,,,,,,,,16,,,,0.08,,,0.02,0.06,,,0.99,,,,0.02,48.6,,,0.05,,,,0.57,,,,0.54,,,,,33.62,,,15.5,151,,27,0.01,10.7,,,0.002,0.26,,,,50,,,,,4,,55.58,,,,,3.6,,,0.92
Chai,18-Feb-00,,,,,,,,,,,7.3,,,,22.42,,,,,,5,,,22,,,2.87,,,,,0.03,76.7,2.16,,,,,,,,,40,,,,0.09,,,0.01,0.28,,,3.39,,,,0.03,64.2,,,0.04,,,,2.88,,,,0.05,,,,,42.65,,,21.1,177,,71,0.01,9.3,,,0.14,1.01,,,,43,,,,,3,,41.06,,,,,4.5,,,16
Chai,18-Mar-00,,,,,,,,,,,6.9,,,,21.42,,,,,,4.4,,,24,,,2.4,,,,,0.01,72.8,2,,,,,,,,,36,,,,0.08,,,0.01,0.02,,,0.56,,,,0.01,39,,,0.04,,,,0.78,,,,0.13,,,,,24.13,,,15.5,151,,75,0.01,10.1,,,0.002,0.39,,,,43,,0.06,,,3.6,,149.1,,,,,5.3,,,1.5
